key	Mycoplasma_agalactiae	Mycoplasma_arginini	Mycoplasma_arthritidis_158L3_1	Mycoplasma_bovis	Mycoplasma_bovoculi	Mycoplasma_canis	Mycoplasma_capricolom	Mycoplasma_cloacale	Mycoplasma_columbinum	Mycoplasma_conjunctivae_HRC581	Mycoplasma_crocodyli	Mycoplasma_cynos_C142	Mycoplasma_dispar	Mycoplasma_fermentans	Mycoplasma_flocculare	Mycoplasma_gallisepticum	Mycoplasma_genitalium	Mycoplasma_glycophilum	Mycoplasma_haemofelis_Langford	Mycoplasma_haemofelis_Ohio2	Mycoplasma_hominis	Mycoplasma_hyopneumoniae	Mycoplasma_hyorhinis	Mycoplasma_iowae	Mycoplasma_lavaretus	Mycoplasma_leachii	Mycoplasma_mobile	Mycoplasma_mycoides	Mycoplasma_mykiss	Mycoplasma_ovipneumoniae	Mycoplasma_phocidae	Mycoplasma_pirum	Mycoplasma_pneumoniae	Mycoplasma_pulmonis	Mycoplasma_putrefacians	Mycoplasma_salar	Mycoplasma_suis	Mycoplasma_synoviae	Mycoplasma_yeatsii	Myocplasma_wenyonii
Mycoplasma_agalactiae	1.0	0.0	0.0	0.003331482509716824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_arginini	0.0	1.0	0.0007189072609633358	0.0	0.0	0.0	0.0	0.0007776049766718507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006854009595613434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_arthritidis_158L3_1	0.0	0.0007189072609633358	1.0	0.0	0.0	0.0	0.0	0.0007112375533428165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006333122229259025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_bovis	0.003331482509716824	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002039775624681285	0.0	0.001027221366204417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_bovoculi	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0038363171355498722	0.0005977286312014345	0.0	0.001100715465052284	0.0	0.0006501950585175553	0.0	0.0	0.0	0.0	0.0	0.0	0.0011806375442739079	0.00186219739292365	0.0	0.0	0.0	0.0	0.0	0.0	0.0011148272017837235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_canis	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0005678591709256105	0.004923413566739606	0.0	0.0011235955056179776	0.0	0.0	0.0	0.001146131805157593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005959475566150178	0.0	0.0	0.0005571030640668524	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_capricolom	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0861797162375197	0.0	0.039533705017739486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002107481559536354	0.0
Mycoplasma_cloacale	0.0	0.0007776049766718507	0.0007112375533428165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006784260515603799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_columbinum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_conjunctivae_HRC581	0.0	0.0	0.0	0.0	0.0038363171355498722	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0010793308148947653	0.0	0.0006353240152477764	0.0	0.0	0.0	0.0	0.0	0.0	0.0011560693641618498	0.0018214936247723133	0.0	0.0	0.0	0.0	0.0	0.0	0.0016402405686167304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_crocodyli	0.0	0.0	0.0	0.0	0.0005977286312014345	0.0005678591709256105	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005414185165132648	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_cynos_C142	0.0	0.0	0.0	0.0	0.0	0.004923413566739606	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0005339028296849973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000554016620498615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_dispar	0.0	0.0	0.0	0.0	0.001100715465052284	0.0	0.0	0.0	0.0	0.0010793308148947653	0.0	0.0	1.0	0.0	0.002748763056624519	0.0	0.0	0.0	0.0	0.0	0.0	0.0040547389761784085	0.0010542962572482868	0.0	0.0	0.0	0.0	0.0	0.0	0.003859141341051616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_fermentans	0.0	0.0	0.0	0.0	0.0	0.0011235955056179776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_flocculare	0.0	0.0	0.0	0.0	0.0006501950585175553	0.0	0.0	0.0	0.0	0.0006353240152477764	0.0	0.0	0.002748763056624519	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013103037522334724	0.0030978934324659233	0.0	0.0	0.0	0.0	0.0	0.0	0.0016685205784204673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_gallisepticum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00830367734282325	0.0	0.0
Mycoplasma_genitalium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_glycophilum	0.0	0.0	0.0	0.0	0.0	0.001146131805157593	0.0	0.0	0.0	0.0	0.0	0.0005339028296849973	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005934718100890207	0.0	0.0	0.0	0.0005830903790087463	0.0	0.0	0.0	0.0	0.0	0.0	0.0012254901960784314	0.0	0.0
Mycoplasma_haemofelis_Langford	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.33976833976833976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_haemofelis_Ohio2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33976833976833976	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_hominis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_hyopneumoniae	0.0	0.0	0.0	0.0	0.0011806375442739079	0.0	0.0	0.0	0.0	0.0011560693641618498	0.0	0.0	0.0040547389761784085	0.0	0.013103037522334724	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.003389830508474576	0.0	0.0	0.0	0.0	0.0	0.0	0.004617752693689072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasma_hyorhinis	0.0	0.0	0.0	0.0	0.00186219739292365	0.0	0.0	0.0	0.0	0.0018214936247723133	0.0	0.0	0.0010542962572482868	0.0	0.0030978934324659233	0.0	0.0	0.0	0.0	0.0	0.0	0.003389830508474576	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
